"species" "uvalue"
"398" "Festuca heterophylla" -0.2655
"399" "Festuca ovina" -0.1879
"400" "Festuca pallens" NA
"401" "Festuca pseudodalmatica" NA
"402" "Festuca rubra" 0.5741
"403" "Festuca spec." NA
"404" "Festuca stricta" -0.2123
"405" "Festuca valesiaca" NA
"406" "Filago arvensis" NA
"407" "Filago germanica" NA
"408" "Filipendula ulmaria" -0.2533
"409" "Filipendula vulgaris" -0.2103
"410" "Fragaria moschata" 0.0448
"411" "Fragaria vesca" -0.3793
"412" "Fragaria viridis" -0.1896
"413" "Frangula alnus" 0.1486
"414" "Fraxinus excelsior" 0.3148
"415" "Fraxinus ornus" NA
"416" "Fraxinus spec." NA
"417" "Fumaria schleicheri" NA
"418" "Gagea lutea" -0.0014
"419" "Gagea minima" -0.1773
"420" "Gagea spec." NA
"421" "Galanthus nivalis" -0.0745
"422" "Galatella linosyris" NA
"423" "Galatella sedifolia" NA
"424" "Galeopsis bifida" NA
"425" "Galeopsis ladanum" NA
"426" "Galeopsis pubescens" 0.1533
"427" "Galeopsis spec." 0.405
"428" "Galeopsis speciosa" 0.3027
"429" "Galeopsis tetrahit" 0.3203
"430" "Galinsoga parviflora" NA
"431" "Galinsoga quadriradiata" NA
"432" "Galium abaujense" NA
"433" "Galium anisophyllon" NA
"434" "Galium aparine" 0.1118
"435" "Galium boreale" -0.2155
"436" "Galium elongatum" NA
"437" "Galium glaucum" -0.5606
"438" "Galium intermedium" -0.2994
"439" "Galium mollugo" -0.514
"440" "Galium odoratum" 0.0053
"441" "Galium palustre" -0.0176
"442" "Galium pumilum" NA
"443" "Galium rotundifolium" -0.5935
"444" "Galium saxatile" -0.3335
"445" "Galium spec." NA
"446" "Galium sylvaticum" -0.4745
"447" "Galium uliginosum" NA
"448" "Galium verum" -0.1687
"449" "Genista germanica" -0.731
"450" "Genista pilosa" -0.4358
"451" "Genista sagittalis" NA
"452" "Genista tinctoria" -0.4066
"453" "Gentiana asclepiadea" -0.5782
"454" "Gentianopsis ciliata" NA
"455" "Geranium phaeum" -0.4137
"456" "Geranium pusillum" NA
"457" "Geranium robertianum" 0.1487
"458" "Geranium sanguineum" -0.391
"459" "Geranium spec." NA
"460" "Geranium sylvaticum" NA
"461" "Geum rivale" -0.1835
"462" "Geum urbanum" 0.0703
"463" "Glechoma hederacea" 0.0452
"464" "Glechoma hirsuta" 0.211
"465" "Glyceria declinata" NA
"466" "Glyceria fluitans" 0.5277
"467" "Glyceria maxima" NA
"468" "Glyceria notata" NA
"469" "Gnaphalium sylvaticum" NA
"470" "Goodyera repens" NA
"471" "Hedera helix" 0.3599
"472" "Helianthemum nummularium" NA
"473" "Helictochloa pratensis" NA
"474" "Helleborus dumetorum" NA
"475" "Helleborus foetidus" NA
"476" "Helleborus niger" NA
"477" "Helleborus purpurascens" NA
"478" "Helleborus viridis" NA
"479" "Hepatica nobilis" -0.2391
"480" "Heracleum sphondylium" -0.3227
"481" "Hesperis sylvestris" NA
"482" "Hieracium bifidum" NA
"483" "Hieracium lachenalii" 0.2802
"484" "Hieracium laevigatum" -0.1583
"485" "Hieracium maculatum" NA
"486" "Hieracium murorum" -0.2701
"487" "Hieracium racemosum" -0.7905
"488" "Hieracium ramosum" NA
"489" "Hieracium sabaudum" -0.1429
"490" "Hieracium spec." 3e-04
"491" "Hieracium transylvanicum" NA
